Sensor ID :    1
  Peak Pressure(bar)	          Time Index	      Rise Time(sec)	  Duration Time(sec)
  2.272698221838e-02	             3629544	  1.675609425848e-03	  4.137625309764e-02
  1.862680158173e-01	             4000610	  4.802687463586e-04	  7.608341671982e-04
  2.315744675226e-02	             4058811	  1.425309487861e-02	  3.742660875141e-02
  2.803356169718e-02	             4172283	  1.015941272134e-02	  1.202326473763e-02
  2.383190158559e-02	             4198357	  1.569942967456e-02	  3.891804702218e-02
  2.054528505463e-02	             4297119	  2.073474707409e-02	  4.053227917887e-02
  2.320646247185e-02	             4332623	  3.351415322460e-04	  4.650527295939e-04
  3.300142708738e-02	             4367217	  3.964100093785e-02	  4.093529045264e-02
  2.598115204166e-02	             4394768	  2.588478216655e-02	  3.404208685555e-02
  2.400481351630e-02	             4461962	  1.035004995642e-03	  3.659552060324e-02
  6.116628280789e-02	             4553763	  6.928045606075e-04	  9.351984341768e-04
  2.823610820023e-02	             4584816	  2.766425258384e-04	  1.787302679069e-02
  3.183479205748e-02	             4615468	  7.745440721180e-04	  1.051287434900e-03
  5.213318195314e-02	             4649081	  1.208200214135e-03	  2.107467083692e-03
  2.537397289559e-02	             4677182	  1.421067661426e-02	  3.627065830580e-02
  2.952310640862e-02	             4706318	  1.995551627119e-03	  1.931692514982e-02
  3.045689686170e-02	             4799166	  2.362546685723e-02	  3.496044884806e-02
  3.064197487782e-02	             4937622	  4.601941716851e-04	  5.152903097163e-04
  3.598158831805e-02	             5062059	  1.944109530565e-02	  1.957015104528e-02
  2.145098659728e-02	             5096256	  4.343970669410e-03	  4.523930577384e-03
  2.247299403744e-02	             5157366	  2.275410569358e-03	  3.184610631851e-02
  3.254104407878e-02	             5429822	  6.383036307300e-04	  1.027779534258e-03
  2.343210422136e-02	             5599991	  3.526900678178e-04	  4.281722598083e-04
  7.134166632708e-02	             5636846	  2.742452794357e-04	  1.605214098378e-03
  2.777742856130e-02	             5756354	  3.040224430736e-03	  7.224799282810e-03
  2.110636909324e-02	             5831838	  1.596586695786e-02	  4.888140222687e-02
  2.148504516467e-02	             5890606	  9.864352574721e-03	  3.373753997105e-02
  2.766703722186e-02	             5918683	  1.479985467080e-03	  5.961239001759e-03
  2.742474989453e-02	             6237811	  8.209679917112e-03	  2.097774670643e-02
  4.361944872171e-02	             6296516	  6.485789815554e-03	  8.326810225104e-03
  4.770201153905e-02	             6464958	  2.656682744818e-04	  1.384529218708e-03
  2.379552502977e-02	             6534081	  3.198699107562e-03	  2.317049564941e-02
  3.067457994562e-02	             6572047	  5.346807930969e-03	  2.597205915159e-02
  2.533617751158e-02	             6600633	  9.359914187974e-03	  2.656073792930e-02
  3.453217231345e-02	             6757097	  3.471144847618e-04	  9.281851387101e-04
  2.573144365074e-02	             6854363	  7.831672474236e-03	  1.495860425118e-02
  2.690294004431e-02	             6884806	  2.234598448187e-02	  3.118312324207e-02
  2.026107505124e-02	             7134170	  2.268264764704e-02	  3.698634728234e-02
  6.172393792415e-02	             7232499	  1.261898928992e-03	  1.308008493486e-03
  6.567038048295e-02	             7409256	  3.541261865726e-04	  5.286637418677e-04
  2.477744871827e-02	             7438757	  2.095093293088e-02	  3.226129641950e-02
  2.332505288911e-02	             7680109	  1.190171737514e-03	  1.848109238499e-03
  3.927644187321e-02	             7709805	  4.874241734113e-04	  7.332796056606e-04
  7.242716195866e-02	             7737609	  4.617900339005e-03	  5.364713223042e-03
  6.248580013251e-02	             7764730	  7.771026438444e-03	  1.482674483064e-02
  2.389292094138e-02	             7923418	  2.095177610442e-03	  3.472974401701e-03
  7.309232686489e-02	             7950967	  2.205963328741e-04	  5.012659290612e-04
  1.358837660011e-01	             8066089	  4.543227828462e-04	  8.916811740935e-04
  2.718851324335e-02	             8158524	  7.319243180225e-04	  2.156058866215e-03
  2.803428653468e-02	             8468393	  7.861243484578e-03	  3.510366317342e-02
  4.625865068562e-02	             8497240	  4.852346643682e-04	  1.032585530413e-03
  2.845221714322e-02	             8526420	  1.404311658009e-02	  3.419745329539e-02
  4.958998764219e-02	             8585776	  9.977322129455e-04	  1.987602542649e-03
  2.393520370852e-02	             8726877	  9.604945947861e-04	  1.193486597354e-02
  4.155341440575e-02	             8871021	  1.226499213384e-03	  1.403037194164e-03
  3.887526186527e-02	             8901002	  2.224183118878e-03	  4.630875934778e-03
  2.803093383544e-02	             8934149	  2.708152035352e-03	  2.883561936784e-03
  3.413046895279e-02	             9034753	  8.285048668586e-03	  8.451901173335e-03
  2.521352066311e-02	             9119535	  8.052780783813e-03	  8.194044891092e-03
  2.321819579118e-02	             9336467	  1.250462941002e-03	  3.753455164277e-02
  2.090738181681e-02	             9399073	  1.326199446319e-02	  1.753125990873e-02
  4.874955334233e-02	             9427130	  3.373347890584e-03	  1.931324572886e-02
  3.780490498492e-02	             9455296	  5.079569254139e-03	  1.518581764561e-02
  2.595512535815e-02	             9485862	  1.304645919617e-03	  8.773359829107e-03
  2.066726512086e-02	             9591243	  4.986118360928e-04	  7.873771979310e-04
  1.222713704076e-01	             9650035	  3.437162785820e-04	  4.622617156351e-04
  2.967250403707e-02	             9828650	  1.680968746360e-02	  2.392332284078e-02
  3.907026462019e-02	             9859395	  2.017928175568e-04	  2.382714379971e-04
  2.834359838938e-02	             9896264	  5.981268088365e-03	  8.315906611128e-03
  2.188600769678e-02	            10002885	  3.107513112846e-03	  8.783440067762e-03
  2.006988867125e-02	            10035536	  1.060574907953e-02	  4.173937800363e-02
  1.696758954899e-01	            10102661	  3.843498012276e-04	  1.285107235857e-03
  3.223840575449e-02	            10130343	  6.298813648744e-04	  7.422599278516e-04
  2.217090536205e-02	            10408411	  3.051351065857e-02	  4.184467177228e-02
  7.344982410214e-02	            10532014	  9.800096668468e-04	  4.019122736044e-03
  3.247808431152e-02	            10558050	  7.116981238868e-05	  1.048417282953e-02
  6.114016343521e-02	            10639228	  4.967243768948e-03	  6.501785641583e-03
  5.955435423420e-02	            10667081	  4.661186683954e-04	  2.332872606756e-03
  4.716845283541e-02	            10958530	  4.965135021469e-04	  6.873170204212e-04
  2.169720791526e-02	            11016847	  1.440051572283e-02	  3.928118497018e-02
  6.257248212525e-02	            11132320	  3.912892328635e-04	  6.050256328017e-04
  3.541424124142e-02	            11206824	  1.520809349352e-03	  1.798067018528e-03
  2.077582504986e-02	            11332894	  1.325298318826e-02	  3.715771753616e-02
  2.041468661009e-02	            11366262	  6.488903775235e-03	  4.144678551642e-02
  3.685563133033e-02	            11434692	  2.381133488501e-03	  6.742465171452e-03
  3.259456546083e-02	            11839485	  4.154391995851e-03	  4.713821184329e-03
  3.084787682720e-02	            11870500	  2.714260489349e-03	  3.669669673225e-03
  2.208809390630e-02	            11898597	  1.890466494378e-02	  3.718567901410e-02
  1.127033335791e-01	            12167824	  1.136038295910e-03	  1.532527424834e-03
  2.011091754973e-02	            12193440	  2.032406536391e-02	  2.949784576493e-02
  3.734626997688e-02	            12221343	  4.186042925006e-03	  2.749391074122e-02
  2.324881587725e-02	            12376430	  1.054691479564e-02	  2.716290746665e-02
  1.379902900284e-01	            12406099	  8.259692513203e-04	  1.599572368327e-03
  3.299578306280e-02	            12581880	  1.945349299025e-04	  2.546612089738e-04
  4.574720809467e-02	            12764010	  3.515338885451e-04	  5.527140459313e-04
  4.361927526351e-02	            12865821	  2.851860144411e-04	  3.676838470890e-04
  9.464397279052e-02	            13171082	  2.637314852733e-04	  7.395496331301e-04
  3.874167253498e-02	            13302437	  9.866014929260e-04	  1.367294479883e-03
  3.592160509804e-02	            13419947	  4.176274075088e-04	  1.972025749401e-03
  3.363657282276e-02	            13565109	  2.106296223075e-04	  2.645389486533e-04
  2.325441296128e-02	            13678654	  2.865370704436e-02	  3.870389791687e-02
  2.206494263066e-02	            13940986	  5.705233953156e-04	  1.043732063869e-03
  3.429807992322e-02	            14171518	  2.984715144014e-03	  1.284892182696e-02
  4.471730988273e-02	            14427103	  8.984486244237e-03	  9.333786833157e-03
  2.310526284745e-02	            14636287	  1.437549396924e-02	  3.001181700765e-02
  4.112310234723e-02	            14666568	  6.033705289358e-03	  6.308039884856e-03
  5.115463645454e-02	            14696868	  6.284062778586e-04	  7.809823627800e-04
  1.052270207664e-01	            14807990	  1.799313975987e-03	  2.793139439536e-03
  3.467463625717e-02	            14988569	  1.605007441960e-03	  1.722525945416e-03
  5.429283539980e-02	            15120857	  3.563496803065e-03	  1.153511552745e-02
  3.107479341990e-02	            15314682	  3.187107805750e-03	  2.474820044065e-02
  5.258965916110e-02	            15395742	  2.780314913352e-04	  5.417330933225e-04
  6.227708641910e-02	            15534669	  1.216996163291e-03	  7.860628460269e-03
  9.710483047752e-02	            15565197	  9.489511358909e-04	  1.335875194170e-03
  4.141830176929e-02	            15594639	  9.712914311107e-03	  1.568208747645e-02
  3.276863118273e-02	            15655822	  6.252428674678e-04	  8.982764609731e-04
  2.094258799032e-02	            15801970	  8.860305352930e-03	  3.261525617417e-02
  2.756102109220e-02	            15936198	  1.457003969009e-04	  2.767103038167e-04
  2.372749904964e-02	            15964217	  1.246887739067e-02	  3.289916415817e-02
  2.100645010200e-02	            16080841	  1.720783331299e-02	  2.484133688784e-02
  3.061284248699e-02	            16189582	  6.267874083242e-03	  1.460193941055e-02
  2.809077700434e-02	            16397423	  6.133249679532e-03	  2.012188805996e-02
  6.995314162448e-02	            16428589	  2.124049822094e-04	  3.147167216717e-04
  2.151864328179e-02	            16546891	  2.619583931497e-02	  3.487009618267e-02
  1.314913411532e-01	            16654698	  3.195044533622e-04	  6.734912184939e-04
  4.856842937191e-02	            16682982	  6.718867463699e-04	  2.600468149974e-03
  3.131291050469e-02	            16902645	  6.780023016564e-03	  1.825824666300e-02
  2.549326364103e-02	            17065232	  1.214871689718e-02	  1.255058816070e-02
  2.805618169775e-02	            17099163	  5.404676183729e-03	  2.144000554961e-02
  2.890276193062e-02	            17128171	  5.787825187041e-03	  2.105805933353e-02
  5.314683452671e-02	            17157060	  4.440107181998e-03	  1.059939334504e-02
  2.992088748016e-02	            17187973	  3.006707720713e-03	  5.902245890283e-03
  2.507088158925e-02	            17529465	  9.143256732408e-03	  2.839458944167e-02
  2.276076923369e-02	            17562524	  6.766158319717e-03	  3.061924589679e-02
  4.545046444824e-02	            17709338	  2.104320171125e-03	  1.176789624479e-02
  2.985985185760e-02	            17775799	  1.155163868600e-02	  1.183541495639e-02
  3.082838072202e-02	            17805456	  7.816963455377e-03	  1.854556850600e-02
  3.584870178038e-02	            18063858	  3.326699406581e-03	  3.571123710931e-03
  4.444084771966e-02	            18367848	  4.978152864757e-03	  6.254065816166e-03
