No,Hs,Tz,Speed,Heading,Runhour
10000101,8.1,7.5,5,90,6
10000201,9.8,8.5,5,90,30
10000301,11.1,9.5,5,90,12
10000401,11.8,10.5,5,90,30
10000501,12.1,11.5,5,90,6
10000601,12,12.5,5,90,6
10000701,11.4,13.5,5,90,6
10000801,10.5,14.5,5,90,6
10000901,8.1,7.5,5,105,6
10001001,9.8,8.5,5,105,6
10001101,11.1,9.5,5,105,6
10001201,11.8,10.5,5,105,6
10001301,12.1,11.5,5,105,6
10001401,12,12.5,5,105,6
10001501,11.4,13.5,5,105,6
10001601,10.5,14.5,5,120,12
10001701,8.1,7.5,5,120,12
10001801,9.8,8.5,5,120,6
10001901,11.1,9.5,5,120,6
10002001,11.8,10.5,5,120,6
10002101,12.1,11.5,5,120,6
10002201,12,12.5,5,120,6
10002301,11.4,13.5,5,120,6
10002401,10.5,14.5,5,120,6
